date,topline,headline,content
31.03.2006 20:32 Uhr,Interview mit Weißrussland-Experten,"""Kräfte stärken, die für den Wandel stehen""","tagesschau.de: Wie setzt sich die Oppositionsbewegung zusammen? Lindner: Die Oppositionsbewegung in Weißrussland selbst wird im wesentlichen von den demokratischen Parteien getragen, die sich im so genannten Kongress der demokratischen Kräfte zusammengefunden haben. Sie setzt sich außerdem aus Jugendgruppen zusammen, zum Beispiel ZUBR, weißrussisch für Wisent. Diese weißrussischen Gruppen waren auch schon zur Zeit der orangenen Revolution in der Ukraine dabei, und sie erhalten jetzt wiederum Unterstützung aus diesen Ländern: Otpor beispielsweise ist in Weißrussland präsent. Auch die ukrainische Jugendbewegung ist vor Ort. tagesschau.de: Welche Auswirkungen hat der massive Polizeieinsatz vom 24. März auf dem Oktoberplatz in Minsk auf die Oppositionsbewegung? Linder: Ein solcher Einsatz war zu erwarten. Die Regierung musste vor der angekündigten Großdemonstration am 25. März die Infrastruktur der Opposition schwächen. Unter den etwa 300 Verhafteten sind viele führende Oppositionelle. Für beide Seiten, sowohl Regierung als auch Opposition, geht es um sehr viel. tagesschau.de: Kann man die Situation in Weißrussland mit der in der Ukraine oder Georgien vergleichen? Lindner: Vergleichbar sind der Enthusiasmus der jungen Leute und auch Intellektuellen, vor allem städtischer Schichten, die den Protest mit ähnlichen Methoden wie in Kiew organisieren. Dazu zählen Kommunikation via Handy und SMS und der Einsatz bestimmter Symbole, in dem Fall das jeansfarbene Blau. tagesschau.de: Was ist anders in Weißrussland als in der Ukraine oder in Georgien? tagesschau.de: Woran liegt das? Lindner: Viele glauben noch, der weißrussische Präsident Lukaschenko sei ein Garant für Sicherheit und Stabilität. Er garantiert demnach beispielsweise die pünktliche Zahlung von Löhnen und Pensionen. Das ist die Folge einer relativ eindimensionalen Informationspolitik, die seit zehn Jahren in diesem Land herrscht. Es gibt für die Mehrheit der Bevölkerung keinen freien Zugang zu Informationen, sondern nur zu staatlichen Medien. Die Leute sind insofern Gefangene des Regimes. Lindner: Der zweite Unterschied ist, dass es keine innerparlamentarische Opposition gibt, die auch aus dem politischen Raum heraus den Präsidenten dazu bringen könnte, Wahlfälschung zuzugeben. Das war in der Ukraine der Fall. Und es gibt keine Justiz, die das entsprechend rechtlich absichern könnte. Auch das war in der Ukraine ein wichtiges Faktum. tagesschau.de: Welcher Faktor ist entscheidend, damit in Weißrussland das autoritäre Regime gestürzt wird? Lindner: Ich denke nicht, dass wir die Möglichkeit für Wirtschaftssanktionen haben. Dazu sind wir zu stark an das Energienetz gebunden, das durch Weißrussland führt. Lukaschenko weiß das. Er verdient nicht zuletzt an diesen Energie-Exporten ganz erheblich. Vor allen Dingen dadurch, dass er billiges Öl in Russland kauft, eine Weiterverarbeitung vornimmt und die veredelten Ölprodukte teuer nach Westeuropa weiterverkauft. Auch Einreiseverbote nützen meiner Meinung nach nichts, denn die treffen ja nur einzelne. Das Interview führte Nea Matzen, tagesschau.de "
31.03.2006 19:36 Uhr,Assoziierungsgespräche werden fortgesetzt,EU verhandelt weiter mit Regierung in Belgrad,"Auf dieser Grundlage habe er entschieden, an den für kommende Woche vorgesehenen Verhandlungen mit Belgrad über das Abkommen festzuhalten, sagte Rehn. Er kündigte an, dass er Ende April erneut prüfen werde, ob die Verhandlungen fortgesetzt werden. Mladic wird ebenso wie der gleichfalls untergetauchte frühere bosnische Serbenführer Radovan Karadzic für zahlreiche Verbrechen während des Bosnien-Kriegs in den Jahren 1992 bis 1995 verantwortlich gemacht. "
31.03.2006 17:18 Uhr,Reaktion auf umstrittene Wahl,Nato und EU erhöhen Druck auf Weißrussland,"Die EU forderte erneut, die festgenommenen Anhänger der Opposition ""sofort"" freizulassen. Die Außenministerin des derzeitigen Ratsvorsitzenden Österreich, Ursula Plassnik, sagte, die Forderung gelte für alle Gefangenen, die nur deshalb verhaftet worden seien, ""weil sie von ihrem elementaren demokratsichen Recht auf Meinungs- und Versammlungsfreiheit"" Gebrauch gemacht haben. Sie gehe davon aus, dass die EU am 10. April konkrete Entscheidungen über ""restriktive Maßnahmen"" gegen die weißrussische Führung treffen wird. Der Führer der Opposition in Weißrussland, Alexander Milinkewitsch, will die EU in der kommenden Woche direkt auffordern, ihn gegen Präsident Lukaschenko zu unterstützen. Der CDU-Politiker, der als Vertrauter von Bundeskanzlerin Angela Merkel gilt, wollte schon am vergangenen Wochenende nach Minsk reisen, um an den vorerst letzten großen Demonstrationen teilzunehmen. Das Visum wurde Pofalla aber nicht rechtzeitig erteilt. "
30.03.2006 22:18 Uhr,Umstrittene Dienstleistungsrichtlinie,EU-Kommission übernimmt Kompromiss,"So verzichtet die Kommission auf das von Gewerkschaften besonders kritisierte Herkunftslandprinzip. Danach hätten Unternehmen in einem EU-Staat weitgehend nach den Regeln ihres Heimatlandes arbeiten können. Stattdessen übernahm die Kommission den Grundsatz des freien Zugangs zum Dienstleistungsmarkt. Das Parlament will damit zwar Firmen den Zugang zum Markt in anderen Ländern erleichtern und bürokratische Hürden abbauen. Zugleich sollen aber eine Reihe von Sozial- und Umweltstandards eingehalten werden. Nachdem es monatelang nach einem harten Ringen zwischen auf sozialen Schutz dringenden Ländern wie Deutschland, Frankreich und Österreich sowie den Anhängern einer liberalen Regelung aus Osteuropa, aber auch Großbritannien aussah, scheint inzwischen der Weg zu einer schnellen Einigung frei. Überraschend hatten die Staats- und Regierungschefs der Europäischen Union den Parlamentskompromiss auf ihrem Gipfeltreffen vergangene Woche einhellig begrüßt. Der österreichische EU-Vorsitz will bis Ende Juni eine politische Einigung auf einen endgültigen Richtlinientext erreichen. "
28.03.2006 17:34 Uhr,EU will gegen hohe Roaming-Gebühren vorgehen,Handy-Telefonate im Ausland sollen billiger werden,"Reding bemängelt schon seit langem, dass die so genannten Roaming-Gebühren für im EU-Ausland geführte Gespräche erheblich variieren. So zahlt ein Finne in Schweden für ein vierminütiges Handy-Gespräch nach Hause laut EU-Kommission 0,20 Euro, während ein Malteser in Lettland für ein vergleichbares Telefonat 13,05 Euro abgerechnet bekommt. Deutsche zahlen für ein Handy-Gespräch in Großbritannien oder Frankreich weit mehr als in Italien oder Spanien. ""Den Grund dafür kennt keiner"", sagte Reding. ""Ich habe die Betreiber immer gewarnt, aber sie haben Schwierigkeiten, meine Botschaft zu verstehen."" Für den Verbraucher nicht nachvollziehbar sei auch, warum er bezahlen müsse, wenn er im EU-Ausland angerufen werde, sagte Reding. Eine Gebühr falle auch dann an, wenn das Handy ausgeschaltet sei und die Mailbox den Anruf beantworte. Deshalb wolle sie ""bei Endkunden die Gebühren für eingehende Anrufe ganz abschaffen"", sagte die Kommissarin. Zudem sollten einem Mobilfunknutzer im EU-Ausland ""stets nur die in seinem Wohnsitzland geltenden Gebühren in Rechnung gestellt"" werden, heißt es in einer Erklärung der EU-Kommission. Neben den Mitgliedstaaten muss auch das Europäische Parlament zustimmen. Viele Abgeordneten hätten ihre Pläne bereits begrüßt, so dass sie von einer Verabschiedung der Verordnung bis Sommer 2007 ausgehe, sagte Reding. Eine EU-Verordnung gilt im Gegensatz zu einer Richtlinie mit sofortiger Wirkung. "
