topline,headline,content
20.03.2022 23:38 Uhr,Krieg gegen die Ukraine,++ Russland ruft Mariupol zur Aufgabe auf ++
20.03.2022 23:02 Uhr,Rede vor Knesset,Selenskyj fordert mehr Hilfe aus Israel
20.03.2022 22:02 Uhr,Corona-Pandemie,++ China weitet Lockdown aus ++
20.03.2022 20:15 Uhr,Corona-Pandemie,Lauterbach fordert Kooperation der Länder
20.03.2022 19:58 Uhr,Krieg gegen die Ukraine,"""Mariupol ist eine tote Zone"""
20.03.2022 17:52 Uhr,Formel 1 in Bahrain,"Leclerc dominiert, Debakel für Verstappen"
20.03.2022 17:20 Uhr,Energiepartnerschaft mit Katar,"""Wir brauchen noch russisches Gas"""
20.03.2022 16:17 Uhr,Krieg gegen die Ukraine,Kunstschule in Mariupol bombardiert
20.03.2022 15:19 Uhr,Selbstgebackene Kunst,Brot-Boom in Prag
20.03.2022 14:48 Uhr,Corona-Pandemie in Deutschland,Inzidenz und Fallzahlen sinken
20.03.2022 13:05 Uhr,Italiens Tourismusbranche,Das Geld kam mit den Russen
20.03.2022 12:37 Uhr,Wirtschaftsbeziehungen,Habeck vereinbart Energiepartnerschaft mit Katar
20.03.2022 12:26 Uhr,Südkoreanisches Militär,Nordkorea testet offenbar wieder Waffen
20.03.2022 12:13 Uhr,Belgien,Auto fährt in Menschengruppe - sechs Tote
20.03.2022 11:31 Uhr,Nach Fialas Kiew-Besuch,Ukraine-Krieg eint Tschechien
20.03.2022 11:29 Uhr,Rekordtemperaturen,Ungewöhnlich warm in der Antarktis
20.03.2022 10:34 Uhr,Debatte um Spritpreise,Gegenvorschläge zu Lindners Tankrabatt
20.03.2022 10:17 Uhr,Huthi-Rebellen,Angriff auf Ziele in Saudi-Arabien
20.03.2022 09:11 Uhr,Kakaoanbau,Ausbeutung - dokumentiert heißt nicht beseitigt
20.03.2022 07:14 Uhr,Krieg gegen die Ukraine,Mariupol und Charkiw heftig umkämpft
20.03.2022 06:56 Uhr,USA und Venezuela,Vom Feind zum Freund?
20.03.2022 05:45 Uhr,Basis-Schutz und Hotspots,Corona-Regeln - was jetzt wo gilt
20.03.2022 04:27 Uhr,100 Tage Ampel-Regierung,Die Unauffälligen
20.03.2022 02:16 Uhr,Geflüchtete in Deutschland,Polizisten zum Schutz für Ukrainerinnen
20.03.2022 00:23 Uhr,Krieg gegen die Ukraine,++ China: NATO für Krieg mitverantwortlich ++
